"Dato","Kumulativt antall","Nye sykehusinnlegelser"
"21.02.2020",0,0
"22.02.2020",0,0
"23.02.2020",0,0
"24.02.2020",0,0
"25.02.2020",0,0
"26.02.2020",0,0
"27.02.2020",0,0
"28.02.2020",0,0
"29.02.2020",0,0
"01.03.2020",0,0
"02.03.2020",0,0
"03.03.2020",0,0
"04.03.2020",0,0
"05.03.2020",0,0
"06.03.2020",1,1
"07.03.2020",1,0
"08.03.2020",2,1
"09.03.2020",5,3
"10.03.2020",12,7
"11.03.2020",20,8
"12.03.2020",24,4
"13.03.2020",33,9
"14.03.2020",44,11
"15.03.2020",52,8
"16.03.2020",71,19
"17.03.2020",90,19
"18.03.2020",114,24
"19.03.2020",152,38
"20.03.2020",184,32
"21.03.2020",212,28
"22.03.2020",240,28
"23.03.2020",283,43
"24.03.2020",329,46
"25.03.2020",389,60
"26.03.2020",434,45
"27.03.2020",470,36
"28.03.2020",504,34
"29.03.2020",528,24
"30.03.2020",561,33
"31.03.2020",599,38
"01.04.2020",626,27
"02.04.2020",663,37
"03.04.2020",684,21
"04.04.2020",711,27
"05.04.2020",725,14
"06.04.2020",744,19
"07.04.2020",758,14
"08.04.2020",780,22
"09.04.2020",790,10
"10.04.2020",796,6
"11.04.2020",807,11
"12.04.2020",816,9
"13.04.2020",826,10
"14.04.2020",837,11
"15.04.2020",849,12
"16.04.2020",853,4
"17.04.2020",868,15
"18.04.2020",877,9
"19.04.2020",882,5
"20.04.2020",887,5
"21.04.2020",891,4
"22.04.2020",899,8
"23.04.2020",904,5
"24.04.2020",912,8
"25.04.2020",916,4
"26.04.2020",922,6
"27.04.2020",924,2
"28.04.2020",931,7
"29.04.2020",931,0
"30.04.2020",933,2
"01.05.2020",935,2
"02.05.2020",937,2
"03.05.2020",938,1
"04.05.2020",940,2
"05.05.2020",943,3
"06.05.2020",947,4
"07.05.2020",949,2
"08.05.2020",953,4
"09.05.2020",954,1
"10.05.2020",955,1
"11.05.2020",957,2
"12.05.2020",960,3
"13.05.2020",963,3
"14.05.2020",965,2
"15.05.2020",966,1
"16.05.2020",966,0
"17.05.2020",966,0
"18.05.2020",971,5
"19.05.2020",972,1
"20.05.2020",973,1
"21.05.2020",975,2
"22.05.2020",976,1
"23.05.2020",976,0
"24.05.2020",976,0
"25.05.2020",976,0
"26.05.2020",977,1
"27.05.2020",981,4
"28.05.2020",983,2
"29.05.2020",984,1
"30.05.2020",984,0
"31.05.2020",986,2
"01.06.2020",987,1
"02.06.2020",987,0
"03.06.2020",987,0
"04.06.2020",987,0
"05.06.2020",988,1
"06.06.2020",988,0
"07.06.2020",988,0
"08.06.2020",989,1
"09.06.2020",991,2
"10.06.2020",992,1
"11.06.2020",994,2
"12.06.2020",995,1
"13.06.2020",995,0
"14.06.2020",996,1
"15.06.2020",997,1
"16.06.2020",998,1
"17.06.2020",1001,3
"18.06.2020",1002,1
"19.06.2020",1003,1
"20.06.2020",1003,0
"21.06.2020",1003,0
"22.06.2020",1005,2
"23.06.2020",1006,1
"24.06.2020",1008,2
"25.06.2020",1009,1
"26.06.2020",1012,3
"27.06.2020",1014,2
"28.06.2020",1016,2
"29.06.2020",1016,0
"30.06.2020",1018,2
"01.07.2020",1018,0
"02.07.2020",1020,2
"03.07.2020",1021,1
"04.07.2020",1021,0
"05.07.2020",1022,1
"06.07.2020",1022,0
"07.07.2020",1022,0
"08.07.2020",1023,1
"09.07.2020",1023,0
"10.07.2020",1023,0
"11.07.2020",1024,1
"12.07.2020",1024,0
"13.07.2020",1026,2
"14.07.2020",1026,0
"15.07.2020",1027,1
"16.07.2020",1029,2
"17.07.2020",1030,1
"18.07.2020",1032,2
"19.07.2020",1032,0
"20.07.2020",1032,0
"21.07.2020",1032,0
"22.07.2020",1032,0
"23.07.2020",1032,0
"24.07.2020",1034,2
"25.07.2020",1034,0
"26.07.2020",1035,1
"27.07.2020",1036,1
"28.07.2020",1036,0
"29.07.2020",1036,0
"30.07.2020",1038,2
"31.07.2020",1043,5
"01.08.2020",1045,2
"02.08.2020",1046,1
"03.08.2020",1048,2
"04.08.2020",1049,1
"05.08.2020",1054,5
"06.08.2020",1056,2
"07.08.2020",1057,1
"08.08.2020",1060,3
"09.08.2020",1062,2
"10.08.2020",1065,3
"11.08.2020",1066,1
"12.08.2020",1066,0
"13.08.2020",1066,0
"14.08.2020",1067,1
"15.08.2020",1070,3
"16.08.2020",1072,2
"17.08.2020",1073,1
"18.08.2020",1074,1
"19.08.2020",1075,1
"20.08.2020",1078,3
"21.08.2020",1081,3
"22.08.2020",1083,2
"23.08.2020",1084,1
"24.08.2020",1087,3
"25.08.2020",1088,1
"26.08.2020",1090,2
"27.08.2020",1093,3
"28.08.2020",1095,2
"29.08.2020",1096,1
"30.08.2020",1096,0
"31.08.2020",1097,1
"01.09.2020",1099,2
"02.09.2020",1101,2
"03.09.2020",1103,2
"04.09.2020",1106,3
"05.09.2020",1106,0
"06.09.2020",1108,2
"07.09.2020",1112,4
"08.09.2020",1114,2
"09.09.2020",1118,4
"10.09.2020",1122,4
"11.09.2020",1125,3
"12.09.2020",1127,2
"13.09.2020",1128,1
"14.09.2020",1134,6
"15.09.2020",1135,1
"16.09.2020",1139,4
"17.09.2020",1141,2
"18.09.2020",1144,3
"19.09.2020",1149,5
"20.09.2020",1151,2
"21.09.2020",1154,3
"22.09.2020",1157,3
"23.09.2020",1160,3
"24.09.2020",1163,3
"25.09.2020",1164,1
"26.09.2020",1165,1
"27.09.2020",1166,1
"28.09.2020",1172,6
"29.09.2020",1176,4
"30.09.2020",1179,3
"01.10.2020",1184,5
"02.10.2020",1188,4
"03.10.2020",1188,0
"04.10.2020",1189,1
"05.10.2020",1191,2
"06.10.2020",1192,1
"07.10.2020",1197,5
"08.10.2020",1200,3
"09.10.2020",1210,10
"10.10.2020",1214,4
"11.10.2020",1221,7
"12.10.2020",1225,4
"13.10.2020",1227,2
"14.10.2020",1228,1
"15.10.2020",1231,3
"16.10.2020",1236,5
"17.10.2020",1240,4
"18.10.2020",1243,3
"19.10.2020",1244,1
"20.10.2020",1252,8
"21.10.2020",1262,10
"22.10.2020",1267,5
"23.10.2020",1271,4
"24.10.2020",1278,7
"25.10.2020",1286,8
"26.10.2020",1298,12
"27.10.2020",1303,5
"28.10.2020",1310,7
"29.10.2020",1323,13
"30.10.2020",1329,6
"31.10.2020",1335,6
"01.11.2020",1340,5
"02.11.2020",1353,13
"03.11.2020",1371,18
"04.11.2020",1380,9
"05.11.2020",1398,18
"06.11.2020",1416,18
"07.11.2020",1428,12
"08.11.2020",1438,10
"09.11.2020",1453,15
"10.11.2020",1466,13
"11.11.2020",1487,21
"12.11.2020",1505,18
"13.11.2020",1525,20
"14.11.2020",1535,10
"15.11.2020",1548,13
"16.11.2020",1567,19
"17.11.2020",1583,16
"18.11.2020",1595,12
"19.11.2020",1611,16
"20.11.2020",1624,13
"21.11.2020",1642,18
"22.11.2020",1657,15
"23.11.2020",1672,15
"24.11.2020",1685,13
"25.11.2020",1704,19
"26.11.2020",1714,10
"27.11.2020",1731,17
"28.11.2020",1745,14
"29.11.2020",1752,7
"30.11.2020",1767,15
"01.12.2020",1785,18
"02.12.2020",1796,11
"03.12.2020",1811,15
"04.12.2020",1836,25
"05.12.2020",1846,10
"06.12.2020",1863,17
"07.12.2020",1876,13
"08.12.2020",1892,16
"09.12.2020",1903,11
"10.12.2020",1918,15
"11.12.2020",1925,7
"12.12.2020",1937,12
"13.12.2020",1945,8
"14.12.2020",1956,11
"15.12.2020",1976,20
"16.12.2020",1982,6
"17.12.2020",1996,14
"18.12.2020",2016,20
"19.12.2020",2026,10
"20.12.2020",2044,18
"21.12.2020",2055,11
"22.12.2020",2064,9
"23.12.2020",2075,11
"24.12.2020",2083,8
"25.12.2020",2096,13
"26.12.2020",2106,10
"27.12.2020",2122,16
"28.12.2020",2145,23
"29.12.2020",2161,16
"30.12.2020",2175,14
"31.12.2020",2187,12
"01.01.2021",2202,15
"02.01.2021",2212,10
"03.01.2021",2220,8
"04.01.2021",2235,15
"05.01.2021",2244,9
"06.01.2021",2252,8
"07.01.2021",2271,19
"08.01.2021",2285,14
"09.01.2021",2301,16
"10.01.2021",2311,10
"11.01.2021",2323,12
"12.01.2021",2340,17
"13.01.2021",2362,22
"14.01.2021",2373,11
"15.01.2021",2387,14
"16.01.2021",2396,9
"17.01.2021",2401,5
"18.01.2021",2412,11
"19.01.2021",2421,9
"20.01.2021",2437,16
"21.01.2021",2456,19
"22.01.2021",2472,16
"23.01.2021",2478,6
"24.01.2021",2492,14
"25.01.2021",2497,5
"26.01.2021",2505,8
"27.01.2021",2509,4
"28.01.2021",2518,9
"29.01.2021",2530,12
"30.01.2021",2534,4
"31.01.2021",2540,6
"01.02.2021",2546,6
"02.02.2021",2552,6
"03.02.2021",2553,1
"04.02.2021",2558,5
"05.02.2021",2564,6
"06.02.2021",2569,5
"07.02.2021",2574,5
"08.02.2021",2583,9
"09.02.2021",2590,7
"10.02.2021",2597,7
"11.02.2021",2604,7
"12.02.2021",2611,7
"13.02.2021",2618,7
"14.02.2021",2620,2
"15.02.2021",2626,6
"16.02.2021",2629,3
"17.02.2021",2640,11
"18.02.2021",2649,9
"19.02.2021",2660,11
"20.02.2021",2668,8
"21.02.2021",2682,14
"22.02.2021",2691,9
"23.02.2021",2704,13
"24.02.2021",2716,12
"25.02.2021",2729,13
"26.02.2021",2739,10
"27.02.2021",2747,8
"28.02.2021",2756,9
"01.03.2021",2770,14
"02.03.2021",2785,15
"03.03.2021",2801,16
"04.03.2021",2814,13
"05.03.2021",2831,17
"06.03.2021",2842,11
"07.03.2021",2861,19
"08.03.2021",2887,26
"09.03.2021",2908,21
"10.03.2021",2927,19
"11.03.2021",2951,24
"12.03.2021",2983,32
"13.03.2021",3007,24
"14.03.2021",3034,27
"15.03.2021",3065,31
"16.03.2021",3092,27
"17.03.2021",3124,32
"18.03.2021",3162,38
"19.03.2021",3199,37
"20.03.2021",3229,30
"21.03.2021",3263,34
"22.03.2021",3293,30
"23.03.2021",3328,35
"24.03.2021",3351,23
"25.03.2021",3384,33
"26.03.2021",3414,30
"27.03.2021",3440,26
"28.03.2021",3470,30
"29.03.2021",3505,35
"30.03.2021",3542,37
"31.03.2021",3568,26
"01.04.2021",3591,23
"02.04.2021",3627,36
"03.04.2021",3653,26
"04.04.2021",3680,27
"05.04.2021",3707,27
"06.04.2021",3740,33
"07.04.2021",3770,30
"08.04.2021",3802,32
"09.04.2021",3838,36
"10.04.2021",3857,19
"11.04.2021",3880,23
"12.04.2021",3909,29
"13.04.2021",3939,30
"14.04.2021",3963,24
"15.04.2021",3991,28
"16.04.2021",4006,15
"17.04.2021",4028,22
"18.04.2021",4051,23
"19.04.2021",4071,20
"20.04.2021",4101,30
"21.04.2021",4118,17
"22.04.2021",4139,21
"23.04.2021",4160,21
"24.04.2021",4169,9
"25.04.2021",4184,15
"26.04.2021",4206,22
"27.04.2021",4218,12
"28.04.2021",4228,10
"29.04.2021",4238,10
"30.04.2021",4244,6
"01.05.2021",4251,7
"02.05.2021",4255,4
"03.05.2021",4268,13
"04.05.2021",4275,7
"05.05.2021",4289,14
"06.05.2021",4301,12
"07.05.2021",4307,6
"08.05.2021",4311,4
"09.05.2021",4326,15
"10.05.2021",4334,8
"11.05.2021",4349,15
"12.05.2021",4362,13
"13.05.2021",4371,9
"14.05.2021",4376,5
"15.05.2021",4382,6
"16.05.2021",4391,9
"17.05.2021",4398,7
"18.05.2021",4412,14
"19.05.2021",4419,7
"20.05.2021",4430,11
"21.05.2021",4433,3
"22.05.2021",4445,12
"23.05.2021",4452,7
"24.05.2021",4462,10
"25.05.2021",4472,10
"26.05.2021",4482,10
"27.05.2021",4488,6
"28.05.2021",4497,9
"29.05.2021",4499,2
"30.05.2021",4503,4
"31.05.2021",4512,9
"01.06.2021",4521,9
"02.06.2021",4526,5
"03.06.2021",4529,3
"04.06.2021",4540,11
"05.06.2021",4544,4
"06.06.2021",4553,9
"07.06.2021",4557,4
"08.06.2021",4562,5
"09.06.2021",4567,5
"10.06.2021",4568,1
"11.06.2021",4577,9
"12.06.2021",4578,1
"13.06.2021",4582,4
"14.06.2021",4587,5
"15.06.2021",4590,3
"16.06.2021",4593,3
"17.06.2021",4595,2
"18.06.2021",4599,4
"19.06.2021",4602,3
"20.06.2021",4604,2
"21.06.2021",4607,3
"22.06.2021",4611,4
"23.06.2021",4617,6
"24.06.2021",4619,2
"25.06.2021",4622,3
"26.06.2021",4624,2
"27.06.2021",4624,0
"28.06.2021",4626,2
"29.06.2021",4628,2
"30.06.2021",4630,2
"01.07.2021",4633,3
"02.07.2021",4635,2
"03.07.2021",4635,0
"04.07.2021",4641,6
"05.07.2021",4644,3
"06.07.2021",4647,3
"07.07.2021",4650,3
"08.07.2021",4654,4
"09.07.2021",4659,5
"10.07.2021",4659,0
"11.07.2021",4659,0
"12.07.2021",4661,2
"13.07.2021",4663,2
"14.07.2021",4664,1
"15.07.2021",4664,0
"16.07.2021",4666,2
"17.07.2021",4671,5
"18.07.2021",4677,6
"19.07.2021",4678,1
"20.07.2021",4679,1
"21.07.2021",4682,3
"22.07.2021",4686,4
"23.07.2021",4689,3
"24.07.2021",4694,5
"25.07.2021",4696,2
"26.07.2021",4700,4
"27.07.2021",4703,3
"28.07.2021",4708,5
"29.07.2021",4708,0
"30.07.2021",4714,6
"31.07.2021",4714,0
"01.08.2021",4716,2
"02.08.2021",4722,6
"03.08.2021",4727,5
"04.08.2021",4732,5
"05.08.2021",4736,4
"06.08.2021",4741,5
"07.08.2021",4742,1
"08.08.2021",4750,8
"09.08.2021",4760,10
"10.08.2021",4760,0
"11.08.2021",4761,1
"12.08.2021",4768,7
"13.08.2021",4773,5
"14.08.2021",4778,5
"15.08.2021",4786,8
"16.08.2021",4793,7
"17.08.2021",4797,4
"18.08.2021",4805,8
"19.08.2021",4811,6
"20.08.2021",4820,9
"21.08.2021",4828,8
"22.08.2021",4835,7
"23.08.2021",4845,10
"24.08.2021",4853,8
"25.08.2021",4865,12
"26.08.2021",4871,6
"27.08.2021",4883,12
"28.08.2021",4890,7
"29.08.2021",4904,14
"30.08.2021",4921,17
"31.08.2021",4938,17
"01.09.2021",4942,4
"02.09.2021",4953,11
"03.09.2021",4960,7
"04.09.2021",4965,5
"05.09.2021",4973,8
"06.09.2021",4986,13
"07.09.2021",4998,12
"08.09.2021",5014,16
"09.09.2021",5034,20
"10.09.2021",5045,11
"11.09.2021",5056,11
"12.09.2021",5074,18
"13.09.2021",5082,8
"14.09.2021",5096,14
"15.09.2021",5106,10
"16.09.2021",5119,13
"17.09.2021",5130,11
"18.09.2021",5146,16
"19.09.2021",5153,7
"20.09.2021",5163,10
"21.09.2021",5176,13
"22.09.2021",5183,7
"23.09.2021",5187,4
"24.09.2021",5202,15
"25.09.2021",5206,4
"26.09.2021",5217,11
"27.09.2021",5231,14
"28.09.2021",5243,12
"29.09.2021",5249,6
"30.09.2021",5256,7
"01.10.2021",5262,6
"02.10.2021",5269,7
"03.10.2021",5277,8
"04.10.2021",5285,8
"05.10.2021",5298,13
"06.10.2021",5310,12
"07.10.2021",5319,9
"08.10.2021",5326,7
"09.10.2021",5331,5
"10.10.2021",5335,4
"11.10.2021",5348,13
"12.10.2021",5355,7
"13.10.2021",5365,10
"14.10.2021",5375,10
"15.10.2021",5381,6
"16.10.2021",5391,10
"17.10.2021",5397,6
"18.10.2021",5410,13
"19.10.2021",5428,18
"20.10.2021",5440,12
"21.10.2021",5452,12
"22.10.2021",5463,11
"23.10.2021",5469,6
"24.10.2021",5478,9
"25.10.2021",5491,13
"26.10.2021",5505,14
"27.10.2021",5522,17
"28.10.2021",5541,19
"29.10.2021",5560,19
"30.10.2021",5581,21
"31.10.2021",5594,13
"01.11.2021",5617,23
"02.11.2021",5642,25
"03.11.2021",5665,23
"04.11.2021",5688,23
"05.11.2021",5705,17
"06.11.2021",5724,19
"07.11.2021",5739,15
"08.11.2021",5766,27
"09.11.2021",5786,20
"10.11.2021",5812,26
"11.11.2021",5839,27
"12.11.2021",5853,14
"13.11.2021",5872,19
"14.11.2021",5904,32
"15.11.2021",5928,24
"16.11.2021",5952,24
"17.11.2021",5966,14
"18.11.2021",5993,27
"19.11.2021",6018,25
"20.11.2021",6035,17
"21.11.2021",6055,20
"22.11.2021",6082,27
"23.11.2021",6108,26
"24.11.2021",6134,26
"25.11.2021",6154,20
"26.11.2021",6182,28
"27.11.2021",6197,15
"28.11.2021",6235,38
"29.11.2021",6260,25
"30.11.2021",6300,40
"01.12.2021",6328,28
"02.12.2021",6360,32
"03.12.2021",6391,31
"04.12.2021",6418,27
"05.12.2021",6453,35
"06.12.2021",6490,37
"07.12.2021",6525,35
"08.12.2021",6550,25
"09.12.2021",6582,32
"10.12.2021",6617,35
"11.12.2021",6648,31
"12.12.2021",6680,32
"13.12.2021",6727,47
"14.12.2021",6776,49
"15.12.2021",6817,41
"16.12.2021",6853,36
"17.12.2021",6886,33
"18.12.2021",6914,28
"19.12.2021",6936,22
"20.12.2021",6974,38
"21.12.2021",7004,30
"22.12.2021",7023,19
"23.12.2021",7053,30
"24.12.2021",7081,28
"25.12.2021",7117,36
"26.12.2021",7135,18
"27.12.2021",7165,30
"28.12.2021",7193,28
"29.12.2021",7227,34
"30.12.2021",7257,30
"31.12.2021",7280,23
"01.01.2022",7308,28
"02.01.2022",7324,16
"03.01.2022",7346,22
"04.01.2022",7371,25
"05.01.2022",7400,29
"06.01.2022",7418,18
"07.01.2022",7439,21
"08.01.2022",7454,15
"09.01.2022",7474,20
"10.01.2022",7492,18
"11.01.2022",7514,22
"12.01.2022",7528,14
"13.01.2022",7544,16
"14.01.2022",7563,19
"15.01.2022",7581,18
"16.01.2022",7595,14
"17.01.2022",7617,22
"18.01.2022",7636,19
"19.01.2022",7665,29
"20.01.2022",7689,24
"21.01.2022",7711,22
"22.01.2022",7726,15
"23.01.2022",7753,27
"24.01.2022",7787,34
"25.01.2022",7815,28
"26.01.2022",7860,45
"27.01.2022",7899,39
"28.01.2022",7920,21
"29.01.2022",7950,30
"30.01.2022",7982,32
"31.01.2022",8016,34
"01.02.2022",8059,43
"02.02.2022",8087,28
"03.02.2022",8127,40
"04.02.2022",8156,29
"05.02.2022",8188,32
"06.02.2022",8228,40
"07.02.2022",8265,37
"08.02.2022",8312,47
"09.02.2022",8353,41
"10.02.2022",8424,71
"11.02.2022",8462,38
"12.02.2022",8505,43
"13.02.2022",8550,45
"14.02.2022",8615,65
"15.02.2022",8674,59
"16.02.2022",8733,59
"17.02.2022",8811,78
"18.02.2022",8888,77
"19.02.2022",8947,59
"20.02.2022",9004,57
"21.02.2022",9087,83
"22.02.2022",9171,84
"23.02.2022",9242,71
"24.02.2022",9321,79
"25.02.2022",9384,63
"26.02.2022",9456,72
"27.02.2022",9541,85
"28.02.2022",9636,95
"01.03.2022",9735,99
"02.03.2022",9817,82
"03.03.2022",9894,77
"04.03.2022",9961,67
"05.03.2022",10027,66
"06.03.2022",10098,71
"07.03.2022",10196,98
"08.03.2022",10295,99
"09.03.2022",10368,73
"10.03.2022",10449,81
"11.03.2022",10520,71
"12.03.2022",10572,52
"13.03.2022",10646,74
"14.03.2022",10722,76
"15.03.2022",10767,45
"16.03.2022",10844,77
"17.03.2022",10904,60
"18.03.2022",10960,56
"19.03.2022",11007,47
"20.03.2022",11056,49
"21.03.2022",11117,61
"22.03.2022",11177,60
"23.03.2022",11232,55
"24.03.2022",11291,59
"25.03.2022",11332,41
"26.03.2022",11369,37
"27.03.2022",11410,41
"28.03.2022",11446,36
"29.03.2022",11489,43
"30.03.2022",11534,45
"31.03.2022",11563,29
"01.04.2022",11593,30
"02.04.2022",11634,41
"03.04.2022",11667,33
"04.04.2022",11696,29
"05.04.2022",11725,29
"06.04.2022",11756,31
"07.04.2022",11799,43
"08.04.2022",11825,26
"09.04.2022",11859,34
"10.04.2022",11885,26
"11.04.2022",11909,24
"12.04.2022",11934,25
"13.04.2022",11955,21
"14.04.2022",11973,18
"15.04.2022",12001,28
"16.04.2022",12024,23
"17.04.2022",12049,25
"18.04.2022",12073,24
"19.04.2022",12095,22
"20.04.2022",12119,24
"21.04.2022",12140,21
"22.04.2022",12154,14
"23.04.2022",12176,22
"24.04.2022",12190,14
"25.04.2022",12207,17
"26.04.2022",12223,16
"27.04.2022",12234,11
"28.04.2022",12246,12
"29.04.2022",12254,8
"30.04.2022",12259,5
"01.05.2022",12271,12
"02.05.2022",12291,20
"03.05.2022",12301,10
"04.05.2022",12315,14
"05.05.2022",12326,11
"06.05.2022",12335,9
"07.05.2022",12342,7
"08.05.2022",12350,8
"09.05.2022",12365,15
"10.05.2022",12378,13
"11.05.2022",12389,11
"12.05.2022",12402,13
"13.05.2022",12415,13
"14.05.2022",12428,13
"15.05.2022",12440,12
"16.05.2022",12451,11
"17.05.2022",12457,6
"18.05.2022",12472,15
"19.05.2022",12480,8
"20.05.2022",12498,18
"21.05.2022",12506,8
"22.05.2022",12521,15
"23.05.2022",12531,10
"24.05.2022",12545,14
"25.05.2022",12563,18
"26.05.2022",12576,13
"27.05.2022",12591,15
"28.05.2022",12598,7
"29.05.2022",12612,14
"30.05.2022",12635,23
"31.05.2022",12650,15
"01.06.2022",12663,13
"02.06.2022",12678,15
"03.06.2022",12690,12
"04.06.2022",12704,14
"05.06.2022",12720,16
"06.06.2022",12735,15
"07.06.2022",12760,25
"08.06.2022",12786,26
"09.06.2022",12799,13
"10.06.2022",12832,33
"11.06.2022",12860,28
"12.06.2022",12886,26
"13.06.2022",12915,29
"14.06.2022",12941,26
"15.06.2022",12960,19
"16.06.2022",13001,41
"17.06.2022",13049,48
"18.06.2022",13081,32
"19.06.2022",13123,42
"20.06.2022",13165,42
"21.06.2022",13209,44
"22.06.2022",13265,56
"23.06.2022",13313,48
"24.06.2022",13365,52
"25.06.2022",13412,47
"26.06.2022",13456,44
"27.06.2022",13505,49
"28.06.2022",13553,48
"29.06.2022",13605,52
"30.06.2022",13668,63
"01.07.2022",13736,68
"02.07.2022",13782,46
"03.07.2022",13833,51
"04.07.2022",13884,51
"05.07.2022",13927,43
"06.07.2022",13982,55
"07.07.2022",14026,44
"08.07.2022",14081,55
"09.07.2022",14122,41
"10.07.2022",14174,52
"11.07.2022",14231,57
"12.07.2022",14271,40
"13.07.2022",14315,44
"14.07.2022",14357,42
"15.07.2022",14396,39
"16.07.2022",14430,34
"17.07.2022",14469,39
"18.07.2022",14502,33
"19.07.2022",14534,32
"20.07.2022",14568,34
"21.07.2022",14608,40
"22.07.2022",14636,28
"23.07.2022",14660,24
"24.07.2022",14683,23
"25.07.2022",14717,34
"26.07.2022",14755,38
"27.07.2022",14794,39
"28.07.2022",14820,26
"29.07.2022",14857,37
"30.07.2022",14890,33
"31.07.2022",14919,29
"01.08.2022",14949,30
"02.08.2022",14979,30
"03.08.2022",15007,28
"04.08.2022",15033,26
"05.08.2022",15063,30
"06.08.2022",15080,17
"07.08.2022",15107,27
"08.08.2022",15139,32
"09.08.2022",15174,35
"10.08.2022",15198,24
"11.08.2022",15235,37
"12.08.2022",15267,32
"13.08.2022",15289,22
"14.08.2022",15320,31
"15.08.2022",15342,22
"16.08.2022",15358,16
"17.08.2022",15374,16
"18.08.2022",15392,18
"19.08.2022",15420,28
"20.08.2022",15434,14
"21.08.2022",15454,20
"22.08.2022",15475,21
"23.08.2022",15492,17
"24.08.2022",15509,17
"25.08.2022",15525,16
"26.08.2022",15539,14
"27.08.2022",15554,15
"28.08.2022",15565,11
"29.08.2022",15583,18
"30.08.2022",15601,18
"31.08.2022",15616,15
"01.09.2022",15626,10
"02.09.2022",15638,12
"03.09.2022",15652,14
"04.09.2022",15660,8
"05.09.2022",15679,19
"06.09.2022",15693,14
"07.09.2022",15705,12
"08.09.2022",15723,18
"09.09.2022",15732,9
"10.09.2022",15748,16
"11.09.2022",15767,19
"12.09.2022",15779,12
"13.09.2022",15792,13
"14.09.2022",15804,12
"15.09.2022",15818,14
"16.09.2022",15832,14
"17.09.2022",15843,11
"18.09.2022",15855,12
"19.09.2022",15864,9
"20.09.2022",15877,13
"21.09.2022",15889,12
"22.09.2022",15907,18
"23.09.2022",15914,7
"24.09.2022",15933,19
"25.09.2022",15952,19
"26.09.2022",15970,18
"27.09.2022",15988,18
"28.09.2022",15999,11
"29.09.2022",16013,14
"30.09.2022",16031,18
"01.10.2022",16045,14
"02.10.2022",16055,10
"03.10.2022",16071,16
"04.10.2022",16088,17
"05.10.2022",16098,10
"06.10.2022",16115,17
"07.10.2022",16129,14
"08.10.2022",16141,12
"09.10.2022",16155,14
"10.10.2022",16169,14
"11.10.2022",16187,18
"12.10.2022",16205,18
"13.10.2022",16217,12
"14.10.2022",16236,19
"15.10.2022",16256,20
"16.10.2022",16271,15
"17.10.2022",16283,12
"18.10.2022",16304,21
"19.10.2022",16319,15
"20.10.2022",16335,16
"21.10.2022",16348,13
"22.10.2022",16359,11
"23.10.2022",16374,15
"24.10.2022",16389,15
"25.10.2022",16390,1