unit,age,sex,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
NR,TOTAL,T,HU33	1318214 	1308470 	1296278 b	1288654 	1279480 	1271040 	1262936 	1251924 	1243865 	1237101 	1231094 	1222173 
NR,TOTAL,T,HUXX	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
NR,TOTAL,T,IE04	: 	: 	832082 	834236 	833748 	833830 	839204 	848383 	856252 	867947 e	877832 	884580 
NR,TOTAL,T,IE05	: 	: 	1547097 	1556247 	1563179 	1567206 	1575504 	1591718 	1604865 	1624381 e	1641057 	1654261 
NR,TOTAL,T,IE06	: 	: 	2210108 	2219296 	2240925 	2276591 	2311578 	2344282 	2369275 	2411912 e	2445551 	2467483 
NR,TOTAL,T,IS00	317630 	318452 	319575 	321857 	325671 	329100 	332529 	338349 	348450 	356991 	364134 	368792 
NR,TOTAL,T,ITC1	4362041 	4364309 	4357663 	4374052 	4436798 	4424467 	4404246 	4392526 	4375865 	4328565 b	4311217 	4274945 
NR,TOTAL,T,ITC2	126686 	126761 	126620 	127844 	128591 	128298 	127329 	126883 	126202 	125653 b	125034 	124089 
NR,TOTAL,T,ITC3	1576443 	1574132 	1567339 	1565127 	1591939 	1583263 	1571053 	1565307 	1556981 	1532980 b	1524826 	1518495 
NR,TOTAL,T,ITC4	9600951 	9663872 	9700881 	9794525 	9973397 	10002615 	10008349 	10019166 	10036258 	10010833 b	10027602 	9981554 
NR,TOTAL,T,ITF1	1307778 	1307273 	1306416 	1312507 	1333939 	1331574 	1326513 	1322247 	1315196 	1300645 b	1293941 	1281012 
NR,TOTAL,T,ITF2	315536 	314342 	313145 	313341 	314725 	313348 	312027 	310449 	308493 	303790 b	300516 	294294 
NR,TOTAL,T,ITF3	5758375 	5765850 	5764424 	5769750 	5869965 	5861529 	5850850 	5839084 	5826860 	5740291 b	5712143 	5624260 
NR,TOTAL,T,ITF4	4048007 	4053668 	4050072 	4050803 	4090266 	4090105 	4077166 	4063888 	4048242 	3975528 b	3953305 	3933777 
NR,TOTAL,T,ITF5	581140 	579358 	577562 	576194 	578391 	576619 	573694 	570365 	567118 	558587 b	553254 	545130 
NR,TOTAL,T,ITF6	1966336 	1962856 	1958418 	1958238 	1980533 	1976631 	1970521 	1965128 	1956687 	1912021 b	1894110 	1860601 
NR,TOTAL,T,ITG1	4997429 	5005657 	4999854 	4999932 	5094937 	5092080 	5074261 	5056641 	5026989 	4908548 b	4875290 	4833705 
NR,TOTAL,T,ITG2	1641347 	1641681 	1637846 	1640379 	1663859 	1663286 	1658138 	1653135 	1648176 	1622257 b	1611621 	1590044 
NR,TOTAL,T,ITH1	498315 	501815 	504708 	509626 	515714 	518518 	520891 	524256 	527750 	530313 b	532644 	534912 
NR,TOTAL,T,ITH2	518796 	522486 	524877 	530308 	536237 	537416 	538223 	538604 	539898 	543721 b	545425 	542166 
NR,TOTAL,T,ITH3	4841933 	4851958 	4853657 	4881756 	4926818 	4927596 	4915123 	4907529 	4905037 	4884590 b	4879133 	4869830 
NR,TOTAL,T,ITH4	1221569 	1220849 	1217780 	1221860 	1229363 	1227122 	1221218 	1217872 	1215538 	1210414 b	1206216 	1201510 
NR,TOTAL,T,ITH5	4306684 	4331343 	4341240 	4377487 	4446354 	4450508 	4448146 	4448841 	4452629 	4459453 b	4464119 	4438937 
NR,TOTAL,T,ITI1	3657340 	3668948 	3667780 	3692828 	3750511 	3752654 	3744398 	3742437 	3736968 	3701343 b	3692555 	3692865 
NR,TOTAL,T,ITI2	880202 	884010 	883215 	886239 	896742 	894762 	891181 	888908 	884640 	873744 b	870165 	865452 
NR,TOTAL,T,ITI3	1540272 	1541950 	1540688 	1545155 	1553138 	1550796 	1543752 	1538055 	1531753 	1520321 b	1512672 	1498236 
NR,TOTAL,T,ITI4	5442963 	5481572 	5500022 	5557276 	5870451 	5892425 	5888472 	5898124 	5896693 	5773076 b	5755700 	5730399 
NR,TOTAL,T,LI00	35894 	36149 	36475 	36838 	37129 	37366 	37622 	37810 	38114 	38378 	38747 	39055 
NR,TOTAL,T,LT01	824193 	811515 	805915 	806308 	806106 	807523 	805380 	805173 	805367 	810538 	820511 	829983 
NR,TOTAL,T,LT02	2317783 	2241073 	2197726 	2165597 	2137366 	2113739 	2083178 	2042731 	2003534 	1983646 	1973579 	1965697 
NR,TOTAL,T,LU00	502066 	511840 	524853 	537039 	549680 	562958 	576249 	590667 b	602005 	613894 	626108 	634730 
NR,TOTAL,T,LV00	2120504 	2074605 	2044813 	2023825 	2001468 	1986096 	1968957 	1950116 	1934379 	1919968 	1907675 	1893223 
NR,TOTAL,T,ME00	619001 	619850 	620308 	620893 	621521 	622099 	622218 	622387 	622359 	622182 	621873 	620739 
NR,TOTAL,T,MK00	2052722 	2057284 	2059794 p	2062294 	2065410 	2068864 	2070998 	2073483 	2075108 	2076953 	2076087 	2068658 
NR,TOTAL,T,MKXX	: 	: 	: 	: 	359 	308 	280 	219 	193 	179 	168 	: 
NR,TOTAL,T,MT00	414027 	414989 	417546 	422509 	429424 	439691 	450415 	460297 	475701 	493559 	514564 	516100 
NR,TOTAL,T,NL11	576668 	579036 	580875 	581705 	582728 	583942 	583721 	583581 	582944 	583990 	585866 	586937 
NR,TOTAL,T,NL12	646305 	647282 	647214 	646862 	646317 	646257 	646040 	646874 	647268 	647672 	649957 	651435 
NR,TOTAL,T,NL13	490981 	491411 	490807 	489918 	488988 	488576 	488629 	491792 	492100 	492167 	493682 	494771 
NR,TOTAL,T,NL21	1130345 	1134465 	1137668 	1139350 	1139697 	1140652 	1144280 	1147687 	1151501 	1156431 	1162406 	1166533 
NR,TOTAL,T,NL22	1998936 	2004671 	2010745 	2015791 	2019692 	2026578 	2035351 	2047901 	2060103 	2071972 	2085952 	2096603 
NR,TOTAL,T,NL23	387881 	391967 	395525 	398441 	399893 	401791 	404068 	407818 	411670 	416546 	423021 	428226 
NR,TOTAL,T,NL31	1220910 	1228794 	1237117 	1245294 	1253672 	1263572 	1273613 	1284504 	1295484 	1306912 	1319231 	1361153 
NR,TOTAL,T,NL32	2669084 	2691477 	2709822 	2724300 	2741369 	2761929 	2784854 	2809483 	2831182 	2853359 	2879527 	2888486 
NR,TOTAL,T,NL33	3505611 	3528324 	3552407 	3563935 	3577032 	3600011 	3622303 	3650222 	3681044 	3709139 	3744299 	3726050 
NR,TOTAL,T,NL34	381409 	381530 	381407 	381077 	380621 	380726 	381252 	381568 	382304 	383032 	383488 	385400 
NR,TOTAL,T,NL41	2444158 	2454215 	2463686 	2471011 	2479274 	2488751 	2498749 	2512531 	2528286 	2544806 	2562955 	2573949 
NR,TOTAL,T,NL42	1122701 	1122627 	1123075 	1121891 	1120006 	1117941 	1116260 	1117546 	1117198 	1116137 	1117201 	1115872 
NR,TOTAL,T,NO01	1123359 	1144883 	1169539 	1190365 	1209992 	1232854 	1251687 	1271127 	1287495 	1305122 	1326682 	: 
NR,TOTAL,T,NO02	375925 	377709 	379938 	380973 	382230 	383985 	384221 	385669 	386836 	386951 	387285 	370603 
NR,TOTAL,T,NO03	928852 	938827 	949963 	960653 	969415 	976682 	984764 	992962 	999639 	1005070 	1011472 	: 
NR,TOTAL,T,NO04	706823 	718543 	728934 	741284 	751632 	762031 	768179 	772813 	777279 	780898 	787123 	: 
NR,TOTAL,T,NO05	835517 	845886 	855399 	866239 	875475 	884316 	890719 	896503 	899627 	901689 	905335 	: 
NR,TOTAL,T,NO06	422102 	426206 	431340 	437198 	441193 	445838 	449457 	454596 	458742 	462032 	465136 	471124 
NR,TOTAL,T,NO07	465621 	468251 	470757 	474563 	478033 	480787 	481694 	484647 	486001 	486450 	484547 	482513 
NR,TOTAL,T,NO08	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1949394 
NR,TOTAL,T,NO09	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	730725 
NR,TOTAL,T,NO0A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1387010 
NR,TOTAL,T,PL21	3280603 b	3293551 	3303061 	3310450 	3316097 	3324579 	3330031 	3339803 	3349498 	3360545 	3371956 	3372763 
NR,TOTAL,T,PL22	4590630 b	4585758 	4576485 	4566039 	4548177 	4535705 	4520567 	4510528 	4500863 	4488998 	4475460 	4450220 
NR,TOTAL,T,PL41	3410721 b	3422705 	3430702 	3437751 	3441440 	3447689 	3450966 	3457473 	3465605 	3473172 	3479525 	3477550 
NR,TOTAL,T,PL42	1696985 b	1697166 	1695822 	1694560 	1691400 	1688486 	1684025 	1681246 	1678873 	1675502 	1671605 	1664056 
NR,TOTAL,T,PL43	1009605 b	1010700 	1010421 	1010582 	1008564 	1007442 	1005159 	1004892 	1004127 	1003310 	1001411 	996912 
NR,TOTAL,T,PL51	2876509 b	2878103 	2876855 	2875180 	2869579 	2868338 	2864624 	2866218 	2865358 	2865072 	2864809 	2857364 
NR,TOTAL,T,PL52	975283 b	972986 	969541 	966167 	960226 	956913 	952557 	950710 	948808 	946038 	942233 	936000 
NR,TOTAL,T,PL61	2074489 b	2075129 	2074398 	2072655 	2068417 	2065846 	2062006 	2060575 	2059748 	2055433 	2050976 	2041485 
NR,TOTAL,T,PL62	1428496 b	1428620 	1427162 	1425897 	1421264 	1418541 	1414734 	1410641 	1408415 	1404441 	1399038 	1392092 
NR,TOTAL,T,PL63	2234955 b	2245568 	2253048 	2259485 	2264817 	2271559 	2277059 	2285800 	2294926 	2305077 	2316135 	2318867 
NR,TOTAL,T,PL71	: 	: 	: 	: 	2498861 	2489844 	2479350 	2471620 	2462448 	2453167 	2442685 	2425669 
NR,TOTAL,T,PL72	: 	: 	: 	: 	1253041 	1247951 	1241895 	1237518 	1232016 	1226243 	1218743 	1209147 
NR,TOTAL,T,PL81	: 	: 	: 	: 	2134413 	2126310 	2118528 	2112787 	2105442 	2097294 	2088292 	2074508 
NR,TOTAL,T,PL82	: 	: 	: 	: 	2083546 	2084264 	2083496 	2084722 	2085877 	2086135 	2084447 	2078146 
NR,TOTAL,T,PL84	: 	: 	: 	: 	1165447 	1162369 	1158945 	1156947 	1154856 	1152074 	1149389 	1144005 
NR,TOTAL,T,PL91	: 	: 	: 	: 	2937140 	2960058 	2979942 	3002278 	3025034 	3053104 	3082399 	3095025 
NR,TOTAL,T,PL92	: 	: 	: 	: 	2355427 	2349720 	2343325 	2339206 	2334793 	2327207 	2319035 	2306192 
NR,TOTAL,T,PT11	3705980 	3693585 b	3687224 	3666234 	3644195 	3621785 e	3603778 e	3584575 	3576205 	3572583 	3575338 	3566374 
NR,TOTAL,T,PT15	445824 	451304 b	446140 	444390 	442358 	441468 e	441929 e	441469 	439617 	438864 	438406 	437970 
NR,TOTAL,T,PT16	2337787 	2331642 b	2316169 	2298938 	2281164 	2263992 e	2256364 e	2243934 	2231346 	2216569 	2217285 	2229331 
NR,TOTAL,T,PT17	2808205 	2822761 b	2827050 	2818388 	2807525 	2809168 e	2812678 e	2821349 	2833679 	2846332 	2863272 	2869033 
NR,TOTAL,T,PT18	762068 	758707 b	754385 	748699 	743306 	733370 e	724391 e	718087 	711950 	705478 	704558 	699420 
NR,TOTAL,T,PT20	246900 	246757 b	247194 	247549 	247440 	246353 e	245766 e	245283 	243862 	242846 	242796 	242201 
NR,TOTAL,T,PT30	266715 	267965 b	264236 	263091 	261313 	258686 e	256424 e	254876 	254368 	253945 	254254 	253923 
NR,TOTAL,T,RO11	2719719 	2717532 	2598877 b	2594823 	2590220 	2585543 	2576567 	2568282 	2560504 	2552112 	2547429 e	2537017 e
NR,TOTAL,T,RO12	2524418 	2522692 	2360578 b	2359405 	2355312 	2350147 	2341964 	2332785 	2325371 	2318272 	2314826 e	2302833 e
NR,TOTAL,T,RO21	3712396 	3703283 	3294204 b	3278798 	3273367 	3269598 	3256734 	3239540 	3222732 	3198564 	3184215 e	3163465 e
NR,TOTAL,T,RO22	2811218 	2802532 	2538949 b	2523354 	2509094 	2492352 	2469868 	2447270 	2423059 	2396171 	2377101 e	2351636 e
NR,TOTAL,T,RO31	3267270 	3253712 	3128799 b	3108150 	3085095 	3061286 	3031555 	3003394 	2965415 	2929832 	2901376 e	2868994 e
NR,TOTAL,T,RO32	2261698 	2267419 	2279145 b	2282244 	2282968 	2284200 	2288203 	2287208 	2302291 	2315173 	2322002 e	2327057 e
NR,TOTAL,T,RO41	2246033 	2232814 	2067357 b	2048702 	2033360 	2015766 	1993482 	1972979 	1949813 	1926860 	1910409 e	1892078 e
NR,TOTAL,T,RO42	1919434 	1913831 	1828087 b	1824598 	1817895 	1811755 	1802212 	1792491 	1784296 	1777474 	1771480 e	1758582 e
NR,TOTAL,T,RS11	: 	: 	: 	: 	: 	: 	: 	1685797 	1688466 	1691919 	1696192 	1692768 
NR,TOTAL,T,RS12	: 	: 	: 	: 	: 	: 	: 	1876215 	1866815 	1856911 	1847274 	1834430 
NR,TOTAL,T,RS21	: 	: 	: 	: 	: 	: 	: 	1949486 	1932780 	1916855 	1900429 	1880467 
NR,TOTAL,T,RS22	: 	: 	: 	: 	: 	: 	: 	1528774 	1513383 	1498079 	1482810 	1463882 
NR,TOTAL,T,SE11	2019182 	2054343 	2091473 	2127006 	2163042 	2198044 	2231439 	2269060 	2308143 	2344124 	2377081 	2391990 
NR,TOTAL,T,SE12	1558292 	1569248 	1578097 	1589821 	1605347 	1621566 	1638825 	1664145 	1687810 	1708813 	1727398 	1737737 
NR,TOTAL,T,SE21	810066 	811611 	812948 	815792 	819426 	826243 	834276 	847667 	856887 	864630 	870200 	873407 
NR,TOTAL,T,SE22	1383653 	1396556 	1405912 	1415403 	1426826 	1443065 	1459880 	1483018 	1504060 	1521848 	1537433 	1548392 
NR,TOTAL,T,SE23	1866283 	1879781 	1892328 	1904563 	1921924 	1942677 	1963466 	1992116 	2015607 	2039166 	2059729 	2071191 
NR,TOTAL,T,SE31	825931 	826820 	825431 	826272 	829134 	833585 	838747 	848451 	852201 	855220 	857762 	858063 
NR,TOTAL,T,SE32	369708 	369316 	368454 	368182 	368617 	369826 	371273 	374245 	375774 	375733 	376157 	375709 
NR,TOTAL,T,SE33	507567 	507895 	508212 	508854 	510548 	512349 	513111 	516451 	519760 	520651 	521829 	522806 
NR,TOTAL,T,SI03	1099674 	1098506 	1099196 	1097198 	1094709 	1093545 	1092193 	1091159 	1089717 	1094435 	1100012 	1105046 
NR,TOTAL,T,SI04	947302 	951683 	956300 	961623 	966376 	969329 	971995 	974736 	977163 	986473 	995849 	1003931 
NR,TOTAL,T,SK01	597999 	599931 	606537 	612682 	618380 	625167 	633288 	641892 	650838 	659598 	669592 	677024 
NR,TOTAL,T,SK02	1842763 	1838786 	1839259 	1838136 	1836664 	1834832 	1832159 	1830751 	1828428 	1826145 	1823792 	1819399 
NR,TOTAL,T,SK03	1350286 	1349286 	1349729 	1348611 	1347233 	1345808 	1343458 	1342287 	1340811 	1339242 	1336785 	1334238 
NR,TOTAL,T,SK04	1599362 	1604443 	1608797 	1611407 	1613672 	1615542 	1617347 	1620413 	1623043 	1625436 	1627704 	1629120 
NR,TOTAL,T,TR10	12915158 	13255685 	13624240 	13854740 	14160467 	14377018 	14657434 	14804116 	15029231 	15067724 	15519267 	15462452 
NR,TOTAL,T,TR21	1511952 	1521328 	1569388 	1593247 	1613616 	1650735 	1687420 	1726260 	1768368 	1802315 	1831151 	1850565 
NR,TOTAL,T,TR22	1617820 	1642720 	1640759 	1654422 	1665089 	1700847 	1700029 	1715969 	1735241 	1767237 	1770777 	1781833 
NR,TOTAL,T,TR31	3868308 	3948848 	3965232 	4005459 	4061074 	4113072 	4168415 	4223545 	4279677 	4320519 	4367251 	4394694 
NR,TOTAL,T,TR32	2707898 	2739188 	2779765 	2808243 	2851086 	2915188 	2955825 	2997720 	3038325 	3093015 	3131322 	3160772 
NR,TOTAL,T,TR33	2940947 	3005558 	2942695 	2965800 	2985153 	2995289 	3013892 	3043846 	3065961 	3100666 	3119860 	3133649 
NR,TOTAL,T,TR41	3508133 	3595460 	3637222 	3682037 	3749582 	3809784 	3881624 	3964535 	4019116 	4089156 	4163022 	4209378 
NR,TOTAL,T,TR42	3193210 	3246147 	3315463 	3376330 	3448702 	3522353 	3617728 	3719652 	3805481 	3878979 	3961953 	4026438 
NR,TOTAL,T,TR51	4650802 	4771716 	4890893 	4965542 	5045083 	5150072 	5270575 	5346518 	5445026 	5503985 	5639076 	5663322 
NR,TOTAL,T,TR52	2224547 	2246478 	2272560 	2287705 	2317164 	2349170 	2372740 	2406913 	2426821 	2457522 	2485653 	2504939 
NR,TOTAL,T,TR61	2592075 	2685499 	2705254 	2763541 	2833306 	2898240 	2968561 	3017280 	3063005 	3137694 	3227410 	3255704 
NR,TOTAL,T,TR62	3703114 	3733124 	3776744 	3808483 	3855034 	3892850 	3928388 	3975522 	4010406 	4034593 	4078365 	4127475 
NR,TOTAL,T,TR63	2957713 	3004608 	3013790 	3038983 	3077753 	3115681 	3142990 	3189974 	3230573 	3289122 	3321755 	3376039 
NR,TOTAL,T,TR71	1504789 	1496296 	1495630 	1501311 	1510080 	1508199 	1515228 	1546995 	1560774 	1603688 	1608193 	1611789 
NR,TOTAL,T,TR72	2326584 	2352971 	2348101 	2351714 	2363390 	2378052 	2379113 	2401245 	2416673 	2461269 	2467565 	2476439 
NR,TOTAL,T,TR81	1026825 	1035071 	1019425 	1020108 	1020957 	1019534 	1023593 	1032260 	1034922 	1046711 	1042760 	1033797 
NR,TOTAL,T,TR82	745976 	743029 	739997 	745525 	763570 	756983 	757711 	766303 	765874 	819468 	793437 	785265 
NR,TOTAL,T,TR83	2739487 	2740686 	2717685 	2717970 	2714575 	2717042 	2721221 	2752803 	2773386 	2822353 	2829953 	2819560 
NR,TOTAL,T,TR90	2526619 	2516167 	2513021 	2545274 	2553647 	2566840 	2572850 	2645584 	2633417 	2719113 	2690180 	2677584 
NR,TOTAL,T,TRA1	1062205 	1068446 	1072848 	1071878 	1062345 	1067560 	1063789 	1078207 	1072404 	1086156 	1081652 	1074620 
NR,TOTAL,T,TRA2	1135856 	1133660 	1157546 	1154277 	1145257 	1138766 	1131570 	1123161 	1115810 	1124898 	1118370 	1117833 
NR,TOTAL,T,TRB1	1626357 	1625158 	1663811 	1673852 	1681719 	1690843 	1700468 	1711847 	1726199 	1762077 	1755735 	1759327 
NR,TOTAL,T,TRB2	2012044 	2022373 	2046027 	2082470 	2092863 	2111068 	2124349 	2115729 	2128670 	2167642 	2174672 	2191967 
NR,TOTAL,T,TRC1	2364249 	2414833 	2471979 	2519139 	2570208 	2616082 	2665265 	2715553 	2756910 	2795617 	2838319 	2876408 
NR,TOTAL,T,TRC2	3128748 	3192329 	3287197 	3354242 	3409417 	3480715 	3546516 	3613746 	3685654 	3768205 	3829967 	3898687 
NR,TOTAL,T,TRC3	1969896 	1985610 	2056997 	2085092 	2116727 	2153921 	2173759 	2179588 	2222601 	2284158 	2307332 	2343826 
NR,TOTAL,T,UKC1	1168781 	1173646 	1177121 	1179963 	1183175 	1186123 	1190177 	1194437 	1197992 	1201543 	: 	: 
NR,TOTAL,T,UKC2	1412315 	1417980 	1422315 	1426640 	1431607 	1435643 	1440477 	1446249 	1450223 	1455437 	: 	: 
NR,TOTAL,T,UKD1	500458 	499952 	499524 	498860 	498463 	498545 	498745 	498641 	498216 	498083 	: 	: 
NR,TOTAL,T,UKD3	2651011 	2673791 	2693358 	2707445 	2721819 	2741974 	2767348 	2789735 	2808080 	2822003 	: 	: 
NR,TOTAL,T,UKD4	1455120 	1459318 	1463274 	1466592 	1469371 	1473818 	1480296 	1487102 	1490434 	1495318 	: 	: 
NR,TOTAL,T,UKD6	898513 	901375 	904677 	907796 	911368 	915471 	919711 	924261 	927799 	931347 	: 	: 
NR,TOTAL,T,UKD7	1498042 	1503567 	1509368 	1513266 	1517171 	1524173 	1533376 	1541473 	1547607 	1553324 	: 	: 
NR,TOTAL,T,UKE1	914144 	916612 	919564 	921510 	922928 	924558 	926818 	929189 	931065 	932645 	: 	: 
NR,TOTAL,T,UKE2	791442 	796538 	801039 	804925 	807558 	810048 	814066 	818141 	820874 	824054 	: 	: 
NR,TOTAL,T,UKE3	1328405 	1338373 	1348096 	1355465 	1362340 	1370817 	1380458 	1389426 	1397266 	1404971 	: 	: 
NR,TOTAL,T,UKE4	2205139 	2220015 	2233863 	2245499 	2256217 	2269744 	2286357 	2301000 	2313390 	2324560 	: 	: 
NR,TOTAL,T,UKF1	2090780 	2104311 	2116662 	2129007 	2141903 	2155431 	2170611 	2187643 	2199851 	2210381 	: 	: 
NR,TOTAL,T,UKF2	1689857 	1704627 	1719017 	1732295 	1747794 	1767307 	1789613 	1812852 	1828762 	1843764 	: 	: 
NR,TOTAL,T,UKF3	708733 	713322 	716973 	721847 	728205 	734643 	741087 	747996 	752671 	756920 	: 	: 
NR,TOTAL,T,UKG1	1288952 	1293901 	1299764 	1305682 	1312357 	1319504 	1327386 	1338055 	1344393 	1352539 	: 	: 
NR,TOTAL,T,UKG2	1558437 	1567473 	1575136 	1581454 	1588088 	1594600 	1603003 	1613788 	1619877 	1626956 	: 	: 
NR,TOTAL,T,UKG3	2699492 	2725810 	2750805 	2771841 	2793881 	2820216 	2852553 	2883905 	2908821 	2928377 	: 	: 
NR,TOTAL,T,UKH1	2361712 	2385006 	2403234 	2416785 	2434456 	2456564 	2475882 	2493326 	2509078 	2521676 	: 	: 
NR,TOTAL,T,UKH2	1706697 	1726575 	1745325 	1763546 	1784776 	1806939 	1827766 	1841673 	1859787 	1871847 	: 	: 
NR,TOTAL,T,UKH3	1711120 	1723421 	1735578 	1748546 	1765271 	1782982 	1798750 	1813609 	1828948 	1841887 	: 	: 
NR,TOTAL,T,UKI3	1081014 	1089392 	1099576 	1108567 	1120811 	1138443 	1153642 	1163136 	1173602 	1190513 	: 	: 
NR,TOTAL,T,UKI4	2076113 	2121080 	2165178 	2205293 	2248524 	2294960 	2337518 	2367065 	2402934 	2430890 	: 	: 
NR,TOTAL,T,UKI5	1720016 	1752126 	1778692 	1800748 	1826033 	1853173 	1880090 	1899556 	1924106 	1940638 	: 	: 
NR,TOTAL,T,UKI6	1208538 	1220637 	1234689 	1249370 	1263221 	1276233 	1288011 	1295666 	1308866 	1316772 	: 	: 
NR,TOTAL,T,UKI7	1916940 	1950290 	1978433 	1999117 	2019780 	2040301 	2058984 	2071842 	2090315 	2103443 	: 	: 
NR,TOTAL,T,UKJ1	2242650 	2264895 	2284847 	2304318 	2325301 	2347205 	2368548 	2385514 	2402507 	2417428 	: 	: 
NR,TOTAL,T,UKJ2	2709001 	2733391 	2755648 	2778314 	2802800 	2827820 	2852269 	2871387 	2892767 	2909838 	: 	: 
NR,TOTAL,T,UKJ3	1877812 	1894162 	1908507 	1920223 	1932133 	1946199 	1961230 	1973952 	1985074 	1993050 	: 	: 
NR,TOTAL,T,UKJ4	1705146 	1723082 	1739802 	1756070 	1773140 	1790347 	1807834 	1824794 	1840563 	1854717 	: 	: 
NR,TOTAL,T,UKK1	2324183 	2342716 	2362209 	2382428 	2404752 	2429519 	2453872 	2474784 	2496022 	2516568 	: 	: 
NR,TOTAL,T,UKK2	1261896 	1271821 	1280933 	1288448 	1295993 	1304470 	1313859 	1322286 	1329868 	1336003 	: 	: 
NR,TOTAL,T,UKK3	530325 	534024 	538254 	542252 	546137 	550437 	555014 	560526 	564588 	568612 	: 	: 
NR,TOTAL,T,UKK4	1127629 	1132530 	1138922 	1145447 	1153568 	1162981 	1171558 	1180517 	1187825 	1195198 	: 	: 
NR,TOTAL,T,UKL1	1924712 	1930295 	1936308 	1940620 	1944635 	1948946 	1954376 	1960764 	1963646 	1968383 	: 	: 
NR,TOTAL,T,UKL2	1119494 	1126355 	1132607 	1137738 	1142724 	1146757 	1151846 	1158491 	1162876 	1168000 	: 	: 
NR,TOTAL,T,UKM5	468596 	473634 	478294 	482660 	487150 	490875 	492173 	491323 	494624 	495365 	: 	: 
NR,TOTAL,T,UKM6	463388 	465794 	466605 	466737 	467326 	467889 	468903 	469420 	470743 	470990 	: 	: 
NR,TOTAL,T,UKM7	: 	: 	1915517 	1924614 	1933992 	1946564 	1961928 	1976392 	1988307 	1998699 	: 	: 
NR,TOTAL,T,UKM8	: 	: 	1499887 	1500987 	1504303 	1510438 	1520628 	1531216 	1536415 	1541998 	: 	: 
NR,TOTAL,T,UKM9	: 	: 	946492 	945666 	944842 	944507 	945233 	946372 	946837 	947186 	: 	: 
NR,TOTAL,T,UKN0	1799019 	1809539 	1818995 	1826761 	1835290 	1846229 	1857048 	1866638 	1875957 	: 	: 	: 
